"CAS","Name","study_pk","route","study_duration","reliability","dummy","Jahr","adrenal.gland","Adrenal.gland_Weight.increased","bladder","body.weight","Body.weight.decreased","body.weight.gain.decreased","bone","bone.marrow","brain","ClinChem_Hepatotox","ClinChem_Nephrotox","CNS","female.reproductive.organ","haematology","haematopoiesis","heart","intestine","kidney","Kidney_degeneration","Kidney_Inflammation.Regeneration","Kidney_rat_specific_nephropathy","kidney_weight_increased","liver","Liver_Degeneration","Liver_hypertrophy","liver_inflammation..regeneration","Liver_weight_increased","male.accessory.gland","male.reproductive.organ","male.reproductive.organ_degeneration","RBC","RBC_Erythrocytes","RBC_haematocrit","RBC_Haemoglobin","spleen","thymus","thyroid.gland","WBC","WBC_leucocytes","WBC_lymphocytes"
78886,"2,3-Dichloro-1-propene",4625,"inhalation",91,"B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
110827,"Cyclohexane",4638,"inhalation",91,"B",,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23696288,"Olaquindox",373,"gavage",90,"A",,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
115071,"Propylene",1794,"inhalation",98,"B",,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836306,"4-Nitrodiphenylamine",1039,"feed",90,"B",,,,,,,1,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,
96311,"1,3-Dimethylurea",1966,"gavage",28,"B",,,,,,,2,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,
107051,"Allyl chloride",1243,"inhalation",90,"B",,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,
123773,"1,1'-Azobisformamide",1073,"gavage",91,"B",,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,
2432997,"11-Aminoundecanoic acid",1939,"feed",91,"B",,,,,,,2,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,
141979,"Ethyl acetoacetate",904,"feed",28,"B",,,,,2,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,2,2,,,,,,
5989275,"d-Limonene",3539,"gavage",91,"B",,,,,,,2,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
112072,"Ethylene glycol monobutyl ether acetate",414,"inhalation",30,"B",,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,
1300727,"Xylene sulphonate; sodium",3695,"feed",91,"B",,,,,,,2,,,,,2,,,,,,,,,,,,,,,2,,,,,,2,,,,2,,,,,
110918,"Morpholine",4632,"inhalation",91,"B",,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
131179,"Diallyl phtalate",3550,"gavage",91,"B",,,,,,,2,,,,,,,,,,,,2,2,2,,,,1,1,2,1,,,,,,,,,,,,,,
75354,"1,1-Dichloroethene",2239,"gavage",90,"B",,,,,,,2,,,,,,,,,,,,,,,,,,2,1,2,1,,,,,,,,,,,,,,
75354,"1,1-Dichloroethene",2944,"inhalation",90,"B",,,,,,,,,,,,,,,,,,,,2,,,,,2,2,,1,,,,,,,,,,,,,,
563473,"3-Chloro-2-methyl-1-propene",3553,"gavage",90,"B",,,,,,,2,,,,,,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,
123911,"1,4-Dioxane",656,"drinking water",91,"B",,,,,,,2,,,,2,,,,,2,,,,,2,,,2,,2,,2,,,,,,,,,,,,,,
75252,"Tribromomethane",3605,"drinking water",90,"B",,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,1,,,1
271896,"Benzofuran",3584,"gavage",91,"B",,,2,,,,1,,,,,,,1,,,,,,2,,,2,,,1,,,,,,,,,,,,,,,,
4180238,"trans-Anethole",971,"feed",28,"B",,,2,,,,2,,,,,,,,,,,,,2,,,,,2,2,,,,,,,,2,,2,,1,,,,
100527,"Benzaldehyde",2216,"gavage",91,"B",,,,,,,2,,,,2,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,
67561,"Methanol",2302,"inhalation",28,"B",,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,
68359375,"cyfluthrin",3012,"inhalation",21,"B",,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
26530201,"2-Octyl-4-isothiazolin-3-one",290,"inhalation",90,"B",,,1,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,
115275,"chlorendic anhydride",2986,"inhalation",28,"B",,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,
121799,"Propyl gallate",931,"feed",91,"B",,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,
624920,"Methyl disulfide",4623,"inhalation",91,"B",,,,1,,,1,,,,,1,1,,,,,,1,2,1,,,1,2,,,,,1,,,,,,1,1,1,,,,
108394,"Methylphenol,3-",301,"gavage",90,"A",,,,,,,1,,,,1,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
127184,"Tetrachloroethene",1742,"inhalation",91,"B",,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
121799,"Propyl gallate",930,"feed",28,"B",,,,,,,2,,,,,,,,,2,,,,2,,,,,2,,,,,,,,,,,,,,,,,
79414,"Methacrylic acid",881,"inhalation",90,"B",,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
111466,"Diethylene glycol",348,"feed",99,"A",,,,,,,,,,,,,,,,,,,,2,,2,,2,2,,,,,,,,,,,,,,,,,
64175,"Ethanol",3735,"drinking water",90,"A",,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,2,,,,2,,,,
88857,"2-(1-Methylpropyl)-4,6-dinitrophenol",1824,"feed",91,"A",,1981,,,,,1,,,,,,1,,,,,1,,,,,,1,,,,,,,,1,,1,1,1,1,,,,,
101804,"4,4´-Diaminodiphenylether",106,"feed",90,"A",,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,1,,1,,,,,,,1,,,
110009,"Furan",3679,"gavage",91,"B",,,,,,,1,,,,,,,1,1,,,,,1,1,,,1,1,1,1,1,1,,,1,,,,,,1,,,,
103902,"Acetaminophen",2151,"feed",91,"A",,1981,,,,,2,,,,,,,,2,,,,,2,2,2,,,,2,2,2,,,,2,,,,,,2,,,,
74964,"Ethyl bromide",3633,"inhalation",98,"B",,,,,,,2,,,2,2,,,2,2,,,,,,,,,,,,,,2,,,2,,,,,2,,,,,
5522430,"1-Nitropyrene",1988,"inhalation",91,"A",,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
583391,"2-Mercaptobenzimidazole",1914,"inhalation",91,"A",,1981,1,,,,1,,,,,1,1,1,1,1,,,,,1,,,,,,1,,1,,,,,,,,,1,1,,,
58899,"Lindane",168,"feed",90,"A",,1981,,,,,1,,,,,,,,,,,,,,1,,,1,1,,1,,1,,,,,,,,,,,,,
66246886,"Penconazole",4446,"feed",90,"A",,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
107028,"Acrolein",3476,"gavage",98,"A",,1998,,,,,1,,,1,,,1,1,,1,,1,,1,,,,,,,,,1,,,,1,1,1,,1,1,,1,,
107186,"Allyl alcohol",3656,"gavage",98,"A",,1998,,,,,,,,,,,1,,1,1,,,,,,,,,1,1,1,,1,,,,,1,,,,,,1,1,1
88733,"1-Chloro-2-nitrobenzene",258,"inhalation",28,"A",,1981,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1,,,1,1,,,,,
110656,"Butynediol",1087,"gavage",28,"A",,1981,,,,,1,,,,,,,,,1,,,,,1,1,,1,1,1,,1,1,,,,,1,1,1,1,,,1,1,1
108452,"m-Phenylenediamin",435,"gavage",90,"A",,1981,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,
107062,"1,2-Dichloroethane",4329,"gavage",91,"A",,1981,,,,,2,,,,2,,,2,,,,,,,,,,1,,,,,1,,,,,,,,,2,,,,
126738,"Tributyl phosphate",1060,"feed",91,"A",,1981,,,1,,1,,,,,,,,,2,,,,,,,,,,,,,1,,,,,2,,,,,,,,
626175,"m-Phthalodinitrile",1082,"gavage",28,"A",,1995,,1,,,2,,,,,,,2,,,,,,1,2,,,2,,,1,,1,,,,,,,,,,,,,
112254,"Ethylene glycol (mono) n-hexyl ether",1330,"inhalation",91,"A",,1981,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
58559,"Theophylline",1346,"gavage",98,"A",,1981,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,1,,,,,1,,1,,1,,,,
85687,"Butyl benzyl phthalate",3509,"feed",90,"A",,1981,,,,,2,,,,,,,,,,,,1,,,,,1,2,2,,,1,,,,2,,,,,,,,,
85687,"Butyl benzyl phthalate",3515,"inhalation",91,"A",,1981,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
108463,"Resorcinol",3662,"gavage",90,"A",,1981,,1,,,,,,,,,2,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
623267,"p-Phthalodinitrile",1083,"gavage",28,"A",,1995,,,,,1,,,,,,,,,,,,,1,,,,,1,,1,,1,,,,,,,,,,1,,,
107062,"1,2-Dichloroethane",4330,"drinking water",91,"A",,1981,,,,,2,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
107062,"1,2-Dichloroethane",4328,"drinking water",91,"A",,1981,,,,,2,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,
95501,"1,2-Dichlorobenzene",852,"gavage",90,"A",,1981,,,,,2,,,,,,2,,,,,,,,,,,1,,2,2,,1,,,,,2,,,2,,,,,
541731,"1,3-Dichlorobenzene",2333,"gavage",28,"A",,1981,,,,,2,,,,,,,,,,,,,,1,,,2,1,,2,,1,,,,,,,,,,,,,
100378,"2-Diethylaminoethanol",234,"inhalation",90,"A",,1981,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
57018527,"Propylene glycol tert-butyl ether",1769,"inhalation",98,"A",,1981,,,,2,,,,,,1,2,,,1,,,,,,,1,1,,,,,1,,,,,2,2,2,,,,1,1,1
77907,"Acetyl Tributyl Citrate",3846,"feed",90,"A",,1981,,,,,1,,,,,,,,,1,,,,,,,,2,,,,,1,,,,,,,,,,,,,
576261,"2,6-Dimethylphenol",1170,"gavage",28,"A",,1981,,,,,2,,,,,,,2,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,
95501,"1,2-Dichlorobenzene",854,"gavage",91,"A",,1981,,,,,2,,,,2,,,,2,1,,,,,2,,,2,,2,,,1,,,,,,,,,2,,2,,2
106945,"1-Bromopropane",2161,"inhalation",91,"A",,1981,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,
108907,"Chlorobenzene",325,"gavage",91,"A",,1981,,,,,2,,,,,,,,,2,,,,,2,2,,2,,2,,,1,,,,,,,,1,2,,,,
111762,"Ethylene glycol (mono) n-butyl ether",1712,"inhalation",90,"A",,1981,,,,,2,,2,1,,,,1,,1,,2,,,2,2,,1,2,2,,,1,,,,,,,,2,2,,,,
140669,"4-(1,1,3,3-TETRAMETHYLBUTYL)-PHENOL",4502,"gavage",29,"A",,1981,,,,,,,,,,1,,,,,,,,,,,2,1,,,2,,2,,,,,,,,,,,,,
107062,"1,2-Dichloroethane",4327,"drinking water",91,"A",,1981,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,2,,,,,,,,,,,,,
87627,"2,6-Xylidine",3,"gavage",90,"A",,1981,,,,,1,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,2,2,,,,,1,1
16219753,"5 Ethylidene- 2- norbornene",3886,"inhalation",98,"A",,1981,,,,,,,,,,,,,,2,,,,,,,,1,,,,,2,,,,,1,1,1,,,1,,2,
98839,"(alpha)-Methylstyrene",1705,"inhalation",98,"A",,1981,,,,,,,,,,,2,,,,,,,,,,1,2,,,,,2,,,,,2,2,2,,,,,,
103833,"Dimethylbenzylamine",984,"gavage",28,"A",,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
98920,"3-Pyridinecarboxamide",1881,"gavage",28,"A",,1981,,2,,,2,,,,1,2,1,,,,2,2,,2,,,,2,,,2,,2,,,,,,,,2,,,,,
81209,"2-Nitro-1,3-dimethylbenzene",1048,"feed",28,"A",,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
2530872,"3-Chloropropyltrimethoxysilane",3907,"inhalation",28,"A",,1981,2,1,1,,,,,,,,,,,,,,,,,,1,2,,,2,,2,,,,,,,,,,,,,
100414,"Ethylbenzene",1841,"inhalation",91,"A",,1981,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,
85687,"Butyl benzyl phthalate",3508,"feed",90,"A",,1981,,,,,2,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,
95487,"o-Cresol",299,"feed",28,"A",,1981,,,,,2,,,,2,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,
288324,"Imidazol",2002,"gavage",90,"A",,1998,,,,,,,,,,,,,,,,,,,,,2,2,,,2,,2,,,,,,,,,,,,,
51036,"Piperonyl butoxide",4381,"feed",91,"A",,1981,,,,,2,,,,,,2,,,,,,,,2,,,2,2,2,2,,2,,,,,,,2,,,,,,
116143,"Tetrafluoroethylene",3564,"inhalation",91,"A",,1981,,,,,2,,,,,,,,,,,2,,,2,,,2,,,,,2,,,,2,2,2,2,,,,,,
462066,"Fluorobenzene",1022,"inhalation",28,"A",,1981,,,,,,,,,,,,,,,,,,,,,2,2,,,2,,2,,,,,,,,,,,,,
122521,"Triethylphosphite",1009,"gavage",32,"A",,1981,,2,,,2,,,,,,,,,2,,,,,,,,2,,,,,2,,,,,2,2,2,,,,,2,2
98828,"Cumene",309,"inhalation",90,"A",,1981,,2,,,,,,,,,,,,2,,,,2,,,,2,,,,,2,,,,,,,,,,,,2,2
102012,"Acetoacetanilide",1032,"gavage",28,"A",,1981,,,,,2,,,,,,,1,,1,2,,,,,1,,1,,,1,,2,,,,1,,,,1,,,1,,2
156605,"1,2-Dichloroethylene",2119,"feed",98,"A",,1998,,,,,2,,,,,,,,,,,,,2,,,,,,,,,2,,,,,2,2,2,,,,,,
89623,"2-Nitro-4-methylaniline",1147,"gavage",28,"A",,1981,,,,,,,,,,,2,,,,,,,,,,,2,,,,,2,,,,2,2,2,2,,,,,,
1634044,"Methyl-tertiary-butyl ether",671,"inhalation",91,"A",,1981,,2,,,2,,,,,2,,2,,2,,,,,,,2,2,,,,,2,,,,2,,2,,,,,2,2,
17465860,"gamma-Cyclodextrin",1000,"feed",91,"A",,1981,,2,,,2,,,,,2,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,
108394,"Methylphenol,3-",588,"feed",28,"A",,1981,,,,,2,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,
10016203,"alpha-Cyclodextrin",1004,"feed",91,"A",,1981,,,,,2,,,,,,,,,2,,,2,,,,,,,,,,2,,,,,,,,2,,,,2,
78933,"Methyl Ethyl Ketone",58,"inhalation",90,"A",,1981,,,,2,,,,,2,,,,,,,,,,,,,2,,,,,2,,,,,,,2,2,,,,,
75058,"Acetonitrile",140,"inhalation",90,"A",,1981,,,,,2,,,,2,,,2,2,2,,2,,,,,,2,,,,,2,,,,,,,,2,2,2,,,
1634044,"Methyl-tertiary-butyl ether",456,"gavage",28,"A",,1981,,2,,,,,,,,,,,,,,,,,,,2,2,,,,,2,,,,,,,,,,,,,
107982,"2-Propylene glycol 1-methyl ether",1763,"inhalation",91,"A",,1981,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,
109999,"Tetrahydrofuran",1785,"inhalation",98,"A",,1981,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,2,2,2,2,2,,2,,
423392,"Butane, 1,1,1,2,2,3,3,4,4-nonafluoro-4-iodo-",4571,"inhalation",28,"A",,1981,,,,,2,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,
7585399,"beta-Cyclodextrin",1005,"feed",90,"A",,1981,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,
106478,"p-Chloroaniline",493,"gavage",90,"A",,1981,,,,,1,,,1,1,,,,,1,1,1,,1,,,,1,,,,,,,,,1,,,1,1,,,1,1,1
541731,"1,3-Dichlorobenzene",2334,"gavage",90,"A",,1981,,,,,2,,,,,1,,,,2,,,,,,,,,,2,,2,,,,,,2,,,,,1,,2,
75058,"Acetonitrile",142,"inhalation",92,"A",,1981,,,,1,,,,,,,,,,1,,2,,,,,,,,2,,,,,,,,,,,,,,,1,
58899,"Lindane",166,"inhalation",90,"A",,1981,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
91576,"2-Methylnaphthalene",4622,"inhalation",28,"A",,2009,,,,,,,,,,,1,,,,,1,,1,,,,,1,,,,,,,,,1,,1,1,,,,,
4098719,"Isophorone diisocyanate",4639,"inhalation",28,"A",,1981,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,
947046,"Dodecane-12-lactam",1343,"gavage",90,"A",,1981,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
101779,"4,4´-Methylenedianiline",4323,"drinking water",91,"A",,1981,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,
95512,"o-Chloroaniline",549,"inhalation",28,"A",,1981,,,,,2,,,1,,,,2,,1,,,,,,,,,1,,,,,,,,,1,1,1,1,,,,,
107153,"Ethylenediamine",108,"feed",90,"A",,1981,2,,,,2,,,,2,2,,,,,,2,,2,,,,,2,,,,,,,,,,,,2,,,,,
10016203,"alpha-Cyclodextrin",1003,"feed",28,"A",,1981,,,,,2,,,,,,2,,,2,,2,2,2,,,,,2,,,,,,,,,2,2,2,,,,,2,
2432997,"11-Aminoundecanoic acid",1940,"feed",28,"A",,1995,,,,,2,,,,,,2,,,2,,,,2,,2,,2,,,,,,,,,,2,2,2,,,,,,
108689,"3,5-Dimethylphenol",1171,"gavage",28,"A",,1981,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83410,"3-Nitro-1,2-dimethylbenzene",1049,"feed",28,"A",,1981,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59676,"Nicotinic acid",1984,"feed",28,"A",,1981,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107222,"Ethane-1,2-dione",241,"drinking water",28,"A",,1981,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592416,"1-Hexene",1183,"gavage",28,"A",,1981,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141979,"Ethyl acetoacetate",903,"gavage",28,"A",,1981,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99514,"4-Nitro-1,2-dimethylbenzene",1051,"feed",28,"A",,1981,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763699,"Ethyl 3-ethoxypropionate",2228,"gavage",28,"A",,1981,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79107,"Acrylic acid",125,"gavage",90,"A",,1981,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
583391,"2-Mercaptobenzimidazole",1913,"inhalation",91,"A",,1981,1,,,,1,,,,,,,1,,1,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,
91156,"o-Phthalodinitrile",1064,"feed",90,"A",,1981,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
836306,"4-Nitrodiphenylamine",1038,"feed",28,"A",,1981,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
2530872,"3-Chloropropyltrimethoxysilane",3906,"inhalation",90,"A",,1981,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
104916,"p-Nitrosophenol",1030,"gavage",28,"A",,1981,,,,,,,,,,,1,,,1,,,,,1,1,,,,,,,,,,,,1,,1,,1,,,,
762049,"Diethylphosphite",1010,"gavage",29,"A",,1981,,,,,2,,,,,2,,2,,,,,,,2,,,,,,,,,,,,,2,,2,,,,,,
2698411,"o-Chlorobenzalmalonitrile",2257,"inhalation",91,"A",,1981,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
77474,"Hexachlorocyclopentadiene",1126,"inhalation",91,"A",,1981,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79221,"Methyl chloroformate",1723,"inhalation",90,"A",,1981,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79221,"Methyl chloroformate",1724,"inhalation",28,"A",,1981,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,
78853,"Methacrolein",1145,"inhalation",91,"A",,1981,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611198,"1-Chloro-2-(chloromethyl)-benzene",1862,"inhalation",28,"A",,1981,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
111922,"Di-n-Butylamine",4570,"inhalation",91,"A",,1981,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96457,"Ethylene thiourea",3490,"inhalation",28,"A",,1981,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,
111922,"Di-n-Butylamine",4569,"inhalation",28,"A",,1981,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79107,"Acrylic acid",127,"drinking water",90,"A",,1981,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107868,"3-Methyl-2-butenal",59,"inhalation",28,"A",,1981,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100425,"Styrene",898,"inhalation",91,"A",,1981,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71432,"Benzene",118,"inhalation",91,"A",,1981,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,2
123513,"3-Methylbutanol-1",1007,"drinking water",90,"A",,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,
126716,"Triisobutyl phosphate",1035,"feed",91,"A",,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,
54839246,"2-Propylene glycol 1-ethyl ether acetate",1334,"inhalation",28,"A",,1981,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79947,"Tetrabromobisphenol A",1694,"feed",28,"A",,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
460731,"1,1,1,3,3-Pentafluoropropane",1737,"inhalation",28,"A",,1981,,,,,,,,,,2,2,,,2,,,,,,,,,,,,,,,,,,2,2,2,,,,,2,
460731,"1,1,1,3,3-Pentafluoropropane",1738,"inhalation",91,"A",,1981,,,,,,,,,,2,2,,,2,,2,,,,,,,,,,,,,,,,,2,,2,,,,2,
423392,"Butane, 1,1,1,2,2,3,3,4,4-nonafluoro-4-iodo-",4587,"inhalation",91,"A",,2009,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
98041045,"98-04-1045",386,"gavage",28,"A",,,,,,,,,,,,,2,,,1,,1,,,,,,,,,,,2,,,,,2,,2,,,,,1,
98041046,"98-04-1046",235,"gavage",28,"A",,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,
98041051,"98-04-1051",237,"gavage",28,"A",,,,,,,1,2,,,,,,1,,,,1,,,,,,1,,,,,1,,,,,,,,,1,,,,
98041073,"98-04-1073",387,"gavage",28,"A",,1995,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,1,,
98041076,"98-04-1076",362,"gavage",28,"A",,,,,,1,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,
98041083,"98-04-1083",363,"gavage",28,"A",,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,1,2,,1,,,,,,
98041085,"98-04-1085",240,"gavage",28,"A",,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
98041086,"98-04-1086",198,"gavage",28,"A",,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98041093,"98-04-1093",369,"gavage",28,"A",,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,
98041095,"98-04-1095",298,"gavage",28,"A",,1995,,,,,2,,,,,2,,2,,,,,,,,,,,,,,,2,1,,,2,,,,2,2,,,,
98041102,"98-04-1102",239,"gavage",28,"A",,,,,,,,,,,1,,,,,,,2,,,,,,,,2,2,1,2,,,,2,2,,2,,2,,2,,
98041103,"98-04-1103",391,"gavage",28,"A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,
98041107,"98-04-1107",232,"gavage",28,"A",,1995,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,
98041110,"98-04-1110",274,"gavage",28,"A",,1995,,,,,,,,,,1,1,,2,2,,,,,,,,2,,,,,,,,,1,,,,,,,2,2,
98050302,"98-05-0302",785,"feed",28,"A",,1981,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,,
98050303,"98-05-0303",786,"gavage",28,"A",,1981,,,,,,,,,,,,2,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,
98050310,"98-05-0310",789,"gavage",28,"A",,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,
98061049,"98-06-1049",796,"gavage",28,"A",,1995,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
98061067,"98-06-1067",798,"gavage",28,"A",,1995,,,,,2,,,,,,,2,,,,,2,,,,,,,2,,,,,,,,,,,2,,,,,
98061079,"98-06-1079",799,"gavage",28,"A",,1995,1,1,,,,2,,,,,1,,,,,,,,,,,1,2,,1,,1,,,,1,,,,,,,,,
98061108,"98-06-1108",801,"gavage",28,"A",,1995,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,1,,,2,1,,,,,
98061109,"98-06-1109",802,"gavage",90,"A",,,,1,,,1,1,,,,1,1,1,,1,,1,1,1,,,,1,,1,,,1,,,,1,,,1,1,,,1,1,
98061116,"98-06-1116",803,"gavage",28,"A",,1995,,,,,2,2,,,,1,,,,2,,2,,,,,,1,,,2,,1,,,,,,,,1,,,2,2,
98061117,"98-06-1117",804,"gavage",28,"A",,1995,,,,,1,,,,,,,,,1,,,,1,,,,,,1,,,,,,,1,,,1,,,,,1,
98061122,"98-06-1122",807,"gavage",28,"A",,1995,,,,,,,,,,,,2,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,
98061136,"98-06-1136",808,"gavage",28,"A",,1995,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98061139,"98-06-1139",809,"feed",90,"A",,1998,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
