"CAS","Name","study_pk","route","study_duration","reliability","dummy","Jahr","adrenal.gland","Adrenal.gland_Weight.increased","bladder","body.weight","Body.weight.decreased","body.weight.gain.decreased","bone","bone.marrow","brain","ClinChem_Hepatotox","ClinChem_Nephrotox","CNS","female.reproductive.organ","haematology","haematopoiesis","heart","intestine","kidney","Kidney_degeneration","Kidney_Inflammation.Regeneration","Kidney_rat_specific_nephropathy","kidney_weight_increased","liver","Liver_Degeneration","Liver_hypertrophy","liver_inflammation..regeneration","Liver_weight_increased","male.accessory.gland","male.reproductive.organ","male.reproductive.organ_degeneration","RBC","RBC_Erythrocytes","RBC_haematocrit","RBC_Haemoglobin","spleen","thymus","thyroid.gland","WBC","WBC_leucocytes","WBC_lymphocytes"
108429,"m-Chloroaniline",2123,"gavage",91,"A",,,,,,,1,,,,,,1,,,1,1,2,,,,,,1,,,,,1,,1,,1,,,1,1,1,,,,
88722,"o-Nitrotoluene",386,"feed",91,"A",,1981,,,,,1,,,,,,2,,2,1,2,,,2,,,1,1,1,2,,1,1,,1,2,,1,2,2,1,,,,1,2
542563,"Isobutyl Nitrite",1803,"inhalation",91,"A",,1981,,,,,2,,,,2,,,2,,1,,2,,,,,,2,2,,,,,,2,,1,,2,1,1,2,,,2,2
542756,"1,3-Dichloropropene",4474,"inhalation",91,"A",,1981,,,,,1,,,,1,,,,1,,,1,,,,,,1,,,,,1,,2,,,,,,,1,,,,
446720,"Genistein",2180,"feed",91,"A",,1998,,2,,,2,,,,,,2,,2,,,2,,,,,,2,,,,,2,,2,,,2,,,,,2,,,
121697,"N,N-Dimethylaniline",3547,"gavage",91,"B",,,,,,,2,,,1,,,,2,,,1,,,1,,,,,1,,,,,,2,,,,,,1,,,,,
151213,"Sodium Lauryl Sulfate",3814,"gavage",28,"B",,,,2,,,2,,,,1,,,,2,2,,2,2,,,,,2,,,,,2,,2,,,2,2,,,,,,2,
110805,"Ethylene glycol monoethyl ether",2278,"drinking water",91,"A",,1981,,,,,2,,,,,,,,2,2,,,,,,,,,,2,,,,2,2,2,2,,,,2,2,,,,
763699,"Ethyl 3-ethoxypropionate",1719,"inhalation",90,"B",,,,,,,2,,,,2,,2,2,,2,,,,,,,,2,,,,,2,,2,,,,,,,2,,,,2
111762,"Ethylene glycol (mono) n-butyl ether",2282,"drinking water",91,"A",,1981,,,,,2,,,,,,1,,2,1,,,,,,,,,1,2,,2,,,2,,,,,,1,2,,,2,
67721,"Hexachloroethane",874,"gavage",91,"B",,,,,2,,2,,,,2,,,1,,,,2,,,,1,,1,,1,,,1,,2,,,,,,,2,,,,
79107,"Acrylic acid",128,"drinking water",90,"A",,,,,,,2,,,,2,2,2,,,,,2,,,,,,2,,,,,2,,2,,,,,,2,,,,,
75127,"Formamide",2454,"gavage",98,"A",,1998,,,,,1,,,,,,,,,1,,1,,,,,,1,2,,,,,,2,2,,,1,1,,2,,2,,2
68122,"N,N-Dimethylformamide",4590,"inhalation",90,"B",,,,,,,2,,,,,,,,2,,,2,,,,,,1,2,2,,2,1,,2,,,2,2,2,,2,,,,
123308,"Aminophenol, p-",979,"feed",91,"A",,1981,,,,,2,,,,2,1,,,1,,,,,,,1,,2,,,,,2,,2,,,2,,2,,,2,,,
100027,"4-Nitrophenol",1143,"gavage",28,"A",,1981,,,,,,,,,,,,2,2,2,,,,,2,2,,,1,1,,,,,2,2,,,,,,,,,2,
78842,"Isobutanal",1953,"inhalation",91,"A",,1981,,,,,2,,,,2,,,2,2,,,,,,,,,2,2,,,,,,2,,,2,,,,2,,2,,
84742,"Di-n-butyl phthalate",765,"feed",91,"A",,1981,,,,,2,,,,,,,,,2,,,,,,,,1,2,,,2,2,,2,2,2,1,2,2,,,,,,
93152,"Methyleugenol",1943,"gavage",98,"A",,1998,1,,,,1,,,,,,,,2,1,,,,,,,,,2,,2,,1,,2,1,,2,,,,1,,,,
105602,"Caprolactam",917,"feed",90,"B",,,,,,,2,,,,,,,,,,,,,,,2,1,2,,,,,,,2,,,,,,,,,,,
98293,"p-tert-Butylcatechol",1323,"feed",98,"A",,1998,,,,,1,,,,,,,,2,,,,,,,,,,,2,,,,,2,,,,,2,,,,,,
151213,"Sodium Lauryl Sulfate",3813,"feed",90,"A",,1998,,,,,,,,,,1,,,,,,,,,,,,2,2,1,2,,2,,2,,,,,,,,,,,
110690,"Butanal Oxime",2451,"gavage",98,"A",,1998,,,,,1,,,2,,,,1,,1,,,,,,,,,,2,,,2,2,2,2,,1,1,1,1,2,,1,1,1
75525,"Nitromethane",824,"inhalation",91,"A",,1981,,,,,2,,,1,,,2,2,,2,,,,,,,,,,,,,,,2,,2,1,1,1,,,,,,
106876,"4-Vinylcyclohexene Diepoxide",2211,"gavage",91,"A",,1981,,,,,2,,,,2,,,2,2,2,,2,,,2,2,,2,,,,,2,,2,2,,,,,,2,,,2,2
110930,"6-Methylhept-5-en-2-one",1378,"gavage",90,"A",,1998,,,,,2,,,,,2,2,2,,2,,,,,,,1,1,,,2,,2,,2,2,,,,,,,,,,
119846,"3,4-Dihydrocoumarin",2450,"gavage",91,"A",,1981,,,,,2,,,,1,2,2,,,2,,,,,,,,2,,,2,,2,,2,,,2,2,2,,,,,2,2
306832,"1,1-Dichloro-2,2,2-trifluoroethane",2225,"inhalation",90,"B",,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,,,,,,,
100403,"4-Vinyl-1-cyclohexene",578,"inhalation",91,"B",,,,,,,2,,,,,,,2,2,,,,,2,,,,2,,,,,2,,2,,,,,,,,,,,
135886,"N-Phenyl-2-naphthylamine",2145,"feed",91,"B",,,,,,,2,,,2,,,,,,,,,,2,2,2,,,,,,,2,,2,,,,,,2,2,,,,
79436,"Dichloroacetic acid",1970,"gavage",90,"B",,,,2,,,1,,,,1,,2,2,,,,,,,,,,1,,,,,1,,2,2,,,,,,,,,,
1649087,"Dichlor-difluorethane",1632,"inhalation",91,"B",,,,,,,2,,,,2,,,2,,,,2,,,,,,2,2,,,,2,,2,,,,,,,,,,,
95487,"o-Cresol",2306,"feed",91,"A",,1981,,,,,2,,,,,,,,1,,,,,,,,,2,,,,,2,,2,,,,,,,,,,,
111900,"Diethylene glycol monoethyl ether",3788,"feed",90,"A",,,,,,,2,,,,,2,,,,,,,,,2,,,2,,2,,,,,2,,,,,,,,,,,
1854268,"Dimethylol dihydroxyethylene urea",1043,"gavage",91,"B",,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,2,2,,,,,,,,,,
111488,"Thiodiglycol",2028,"gavage",91,"A",,,,2,,,2,,,,2,,,,,,,,,,,,,2,,,,,2,,2,,,,,,,,,,,
2314978,"Trifluoroiodomethane",4598,"inhalation",90,"A",,1981,,,,,2,,,,2,,,2,,2,,,,,,,,,,,,,2,,2,2,,2,,2,,2,2,2,2,2
509148,"Tetranitromethane",1158,"inhalation",91,"B",,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
59080409,"2,2',4,4',5,5'-Hexabromobiphenyl",800,"gavage",30,"A",,,,,,,,,,,,,,1,,1,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,
26628228,"Sodium Azide",4510,"gavage",91,"B",,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
88733,"1-Chloro-2-nitrobenzene",4600,"inhalation",91,"B",,,,,,,,,,,,,,,,1,,,,1,,1,,1,1,,,,1,,,,,1,1,1,1,,,,,
106923,"Allyl glycidyl ether",3592,"inhalation",91,"B",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
836306,"4-Nitrodiphenylamine",1040,"inhalation",21,"B",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
96184,"1,2,3-Trichloropropane",2198,"inhalation",90,"A",,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,
118489,"N-Carboxyanthranilic acid anhydride",1144,"inhalation",28,"B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
